,question,answer,link
88, What are the main components of the 35-ton artdaq architecture used in the DUNE experiment? ," The 35-ton artdaq architecture includes board readers, event builders, aggregators, and online monitoring, with data flow being left-to-right and configurable for parallelism. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=12&filename=DUNE_FIFE.pdf&version=2

"
89, What are some of the challenges faced by the DUNE Collaboration in terms of data handling and job submission? ," Challenges include gridftp timeouts causing job output loss, slow submission of thousands of jobs one by one with jobsub_submit, and the need for a test queue that starts short jobs right away for testing purposes. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=12&filename=DUNE_FIFE.pdf&version=2

"
90, What is the significance of the DUNE-ification process mentioned in the DUNE FIFE Report? ," The DUNE-ification process involves renaming and creating new instances of DUNE's FIFE resources, which were previously labeled ""lbne,"" to reflect the new collaboration and ensure proper resource management. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=12&filename=DUNE_FIFE.pdf&version=2

"
91, What are the main findings from the Hamamatsu MPPC characterization study? ," The study found that Hamamatsu MPPCs in LAr temperature show low dark rate and fast pulses, with LCT samples having lower cross talk and after pulsing rate compared to STD samples. ", https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=10&filename=Hamamatsu_mppc_characterization.pdf&version=1
92, What is the current status of the photon detector simulation in terms of noise and file size? ," The photon detector simulation has implemented dark noise (10 Hz per channel), cross-talk (16.5%), line noise (2.6 ADC counts RMS), and a pedestal (1500 ‒ arbitrary number for now), resulting in output files that are approximately 30 times larger, mostly due to line noise. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=11&filename=pd_reco_status_20150529.pdf&version=1

"
93, What are the main goals of the measurements program group for the next year? ," The main goals are to develop necessary tools for data analysis, train a new generation of experts for DUNE analyses, and get ready for data taking in spring 2018. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=16&filename=Milestones_for_2015.pdf&version=1

"
94, What is the plan to incorporate the effects of Ar39 decay in the photon detector simulation? ," A radiological “generator” has been written by Tom Junk, and the plan is to turn it on and study the output in the photon detectors. Once an estimate of the rate is obtained, the simulation can be turned on all the time or the effective dark rate can be increased to compensate. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=8&filename=PD_Status_May29_2015.pdf&version=1

"
95, What was the outcome of the DUNE naming contest? ," The name DUNE (Deep Underground Neutrino Experiment) was the clear leader in the first round of voting, and it was accepted as the name for the experiment. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=14&filename=ibminutes-06mar2015.txt&version=1

"
96, What are the primary science goals of the DUNE experiment? ," The primary science goals are precision measurement of neutrino oscillation parameters, determination of the neutrino mass hierarchy, and precision tests of the three-flavor oscillation hypothesis. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=13&filename=DUNE_2015FNALUsersMeeting_Fields_10June2015.pdf&version=2

"
97, What is the status of the SiPM characterization tests at cryogenic temperatures? ," The NDL 11-2222B-S SiPMs failed the cryogenic test, with one having a 0.1 V operative overvoltage range and the other two having no operative range in the cryostat. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=9&filename=NDL_SiPM_Charaterization.pdf&version=1

"
98, What are the short-term priorities for the DUNE photon detection system? ," The short-term priorities include down-selection through Tallbo and CDDF tests, simulation/reconstruction, inclusion of 39Ar background, modeling the effect of SiPM failure rates, and PD reconstruction. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=8&filename=PD_Status_May29_2015.pdf&version=1

"
99, What is the purpose of the UTA DUNE SiPM coupling R&D? ," The purpose is to study the mechanical stability and transmission efficiency of the coupling scheme between scintillation counters and SiPMs, which is critical for maintaining light output, especially under LAr temperature conditions. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=18&filename=UTA-SiPM-RnD-061215.pptx&version=1

"
100, What are the estimated efforts required for the development of the reconstruction chain in the DUNE experiment? ," The estimated efforts include 0.5 FTE for low-level variables, 2 FTEs for different calibration for different particles and energies, 0.5 FTE for reconstruction of tracks and showers, and 2 FTEs for training PIDs. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=16&filename=Milestones_for_2015.pdf&version=1

"
101, What are the criteria for the optical detector down-select for the DUNE photon detection system? ," The primary criteria for down-select are relative performance coupled with cost, simulation and reconstruction performance, and complexity of production and handling. ", https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=8&filename=PD_Status_May29_2015.pdf&version=1
